iter	Passed	Remaining
0	168	83948
1	175	43609
2	182	30155
3	188	23312
4	192	19047
5	196	16187
6	200	14139
7	204	12607
8	208	11376
9	211	10382
10	215	9582
11	219	8922
12	223	8368
13	226	7871
14	230	7440
15	233	7061
16	237	6755
17	240	6449
18	243	6174
19	247	5951
20	251	5744
21	255	5558
22	259	5380
23	264	5240
24	267	5089
25	271	4948
26	274	4813
27	279	4705
28	282	4583
29	286	4493
30	289	4385
31	294	4299
32	297	4203
33	301	4128
34	304	4045
35	309	3986
36	312	3910
37	315	3839
38	320	3784
39	324	3727
40	327	3670
41	330	3608
42	335	3565
43	339	3516
44	343	3471
45	347	3425
46	355	3427
47	360	3390
48	363	3344
49	367	3306
50	372	3276
51	375	3233
52	378	3191
53	383	3164
54	386	3126
55	389	3088
56	392	3050
57	395	3017
58	399	2988
59	403	2955
60	406	2922
61	409	2891
62	414	2872
63	417	2843
64	420	2816
65	424	2789
66	427	2764
67	431	2743
68	436	2724
69	439	2700
70	442	2676
71	447	2658
72	450	2635
73	453	2612
74	457	2595
75	462	2582
76	466	2560
77	469	2539
78	472	2519
79	476	2499
80	480	2486
81	484	2468
82	487	2449
83	490	2430
84	494	2416
85	498	2398
86	501	2381
87	505	2364
88	508	2347
89	511	2332
90	515	2315
91	518	2301
92	522	2286
93	526	2273
94	529	2258
95	533	2243
96	536	2229
97	539	2214
98	543	2202
99	547	2188
100	550	2174
101	553	2160
102	557	2148
103	560	2135
104	564	2123
105	567	2110
106	570	2097
107	575	2087
108	578	2075
109	581	2062
110	585	2050
111	588	2039
112	592	2030
113	596	2018
114	599	2006
115	602	1995
116	606	1985
117	610	1976
118	614	1968
119	619	1960
120	623	1951
121	626	1940
122	629	1929
123	632	1919
124	636	1908
125	640	1900
126	643	1890
127	647	1880
128	650	1871
129	654	1862
130	657	1853
131	661	1843
132	664	1834
133	667	1824
134	672	1817
135	676	1809
136	679	1800
137	682	1790
138	686	1781
139	689	1774
140	693	1764
141	696	1755
142	699	1747
143	703	1740
144	707	1731
145	710	1722
146	713	1714
147	717	1705
148	721	1698
149	724	1690
150	727	1681
151	731	1673
152	735	1668
153	739	1660
154	742	1652
155	745	1644
156	749	1636
157	752	1628
158	755	1620
159	759	1612
160	762	1605
161	765	1597
162	769	1590
163	772	1582
164	775	1575
165	779	1567
166	782	1560
167	786	1554
168	789	1546
169	793	1540
170	797	1535
171	801	1528
172	804	1521
173	808	1514
174	811	1507
175	815	1500
176	818	1493
177	822	1487
178	825	1480
179	828	1473
180	832	1467
181	836	1462
182	840	1455
183	843	1449
184	847	1442
185	851	1437
186	855	1431
187	859	1425
188	863	1420
189	867	1415
190	871	1409
191	875	1404
192	879	1398
193	883	1394
194	887	1388
195	891	1382
196	895	1377
197	899	1371
198	903	1366
199	907	1360
200	911	1355
201	915	1350
202	918	1344
203	923	1339
204	927	1334
205	932	1330
206	939	1329
207	950	1333
208	955	1330
209	966	1334
210	974	1334
211	983	1336
212	998	1345
213	1005	1344
214	1012	1341
215	1016	1337
216	1022	1333
217	1029	1331
218	1035	1328
219	1042	1326
220	1047	1322
221	1053	1319
222	1058	1315
223	1063	1310
224	1067	1305
225	1072	1299
226	1076	1294
227	1080	1289
228	1085	1284
229	1090	1279
230	1094	1274
231	1099	1270
232	1104	1265
233	1108	1260
234	1113	1255
235	1117	1250
236	1122	1245
237	1126	1240
238	1130	1234
239	1135	1229
240	1139	1224
241	1145	1221
242	1150	1216
243	1155	1212
244	1159	1207
245	1163	1201
246	1167	1196
247	1172	1191
248	1176	1186
249	1180	1180
250	1185	1175
251	1196	1177
252	1200	1172
253	1204	1167
254	1209	1161
255	1213	1156
256	1218	1152
257	1223	1147
258	1227	1142
259	1232	1137
260	1236	1132
261	1241	1127
262	1245	1122
263	1250	1118
264	1254	1112
265	1258	1107
266	1263	1102
267	1267	1097
268	1272	1092
269	1276	1087
270	1281	1082
271	1286	1078
272	1291	1073
273	1295	1068
274	1300	1063
275	1304	1058
276	1308	1053
