date,value
2023-03-14,100000.0
2023-03-15,99745.24802263673
2023-03-16,99812.49411638673
2023-03-17,100384.74997576173
2023-03-20,99826.49802263673
2023-03-21,100421.99606951173
2023-03-22,100643.99802263673
2023-03-23,100268.99802263673
2023-03-24,99609.74997576173
2023-03-27,99812.99216326173
2023-03-28,99642.99216326173
2023-03-29,100287.99216326173
2023-03-31,101683.24606951173
2023-04-03,101874.74997576173
2023-04-05,102669.74997576173
2023-04-06,102880.24802263673
2023-04-10,102740.5654545508
2023-04-11,102740.5654545508
2023-04-12,102740.5654545508
2023-04-13,102740.5654545508
2023-04-17,102740.5654545508
2023-04-18,102740.5654545508
2023-04-19,102476.10801705082
2023-04-20,102504.60411080082
2023-04-21,102502.61192330082
2023-04-24,103099.35997017582
2023-04-25,103228.60801705082
2023-04-26,103450.35606392582
2023-04-27,103957.61192330082
2023-04-28,104707.35801705082
2023-05-02,105120.60997017582
2023-05-03,104831.60606392582
2023-05-04,105661.36192330082
2023-05-05,104727.35801705082
2023-05-08,105704.35997017582
2023-05-09,105712.10411080082
2023-05-10,105957.85606392582
2023-05-11,105593.08598705083
2023-05-12,105593.08598705083
2023-05-15,105593.08598705083
2023-05-16,105593.08598705083
2023-05-17,105593.08598705083
2023-05-18,105320.95544927742
2023-05-19,105688.21130865242
2023-05-22,106243.21130865242
2023-05-23,106411.20935552742
2023-05-24,106098.21130865242
2023-05-25,106276.96130865242
2023-05-26,107167.95740240242
2023-05-29,107664.46130865242
2023-05-30,107840.45740240242
2023-05-31,107343.21130865242
2023-06-01,107109.95935552742
2023-06-02,107341.70740240242
2023-06-05,107640.45740240242
2023-06-06,107666.20935552742
2023-06-07,108303.21130865242
2023-06-08,107564.63134556648
2023-06-09,107564.63134556648
2023-06-12,107564.63134556648
2023-06-13,107564.63134556648
2023-06-14,107564.63134556648
2023-06-15,107564.63134556648
2023-06-16,107564.63134556648
2023-06-19,107564.63134556648
2023-06-20,107564.63134556648
2023-06-21,107564.63134556648
2023-06-22,107282.8748830665
2023-06-23,106754.1248830665
2023-06-26,106882.6209768165
2023-06-27,107513.6268361915
2023-06-28,108287.1229299415
2023-06-30,109371.8787893165
2023-07-03,110039.3787893165
2023-07-04,110371.6248830665
2023-07-05,110419.1248830665
2023-07-06,110913.1287893165
2023-07-07,110085.6287893165
2023-07-10,110206.1268361915
2023-07-11,110623.6268361915
2023-07-12,110348.1287893165
2023-07-13,110495.3748830665
2023-07-14,110955.85302806649
2023-07-17,110955.85302806649
2023-07-18,110955.85302806649
2023-07-19,110955.85302806649
2023-07-20,110955.85302806649
2023-07-21,110955.85302806649
2023-07-24,110955.85302806649
2023-07-25,110955.85302806649
2023-07-26,110955.85302806649
2023-07-27,110955.85302806649
2023-07-28,110955.85302806649
2023-07-31,110955.85302806649
2023-08-01,110955.85302806649
2023-08-02,110955.85302806649
2023-08-03,110955.85302806649
2023-08-04,110955.85302806649
2023-08-07,110955.85302806649
2023-08-08,110955.85302806649
2023-08-09,110955.85302806649
2023-08-10,110955.85302806649
2023-08-11,110955.85302806649
2023-08-14,110955.85302806649
2023-08-16,110955.85302806649
2023-08-17,110955.85302806649
2023-08-18,110955.85302806649
2023-08-21,110955.85302806649
2023-08-22,110955.85302806649
2023-08-23,110955.85302806649
2023-08-24,110955.85302806649
2023-08-25,110955.85302806649
2023-08-28,110666.06920583993
2023-08-29,110849.06725271493
2023-08-30,110873.06139333993
2023-08-31,110404.81920583993
2023-09-01,111312.31920583993
2023-09-04,111779.81920583993
