date,value
2025-08-19,99907.65695882807
2025-08-20,99909.48352743158
2025-08-21,99862.11942220698
2025-08-22,99195.14914632807
2025-08-25,99248.7749397851
2025-08-26,97499.48850527112
2025-08-28,96846.90027895276
2025-08-29,96549.79047670666
2025-09-01,98000.56544008557
2025-09-02,98236.702128318
2025-09-03,98584.61403984376
2025-09-04,98253.36535209962
2025-09-05,98121.38625664063
2025-09-08,97521.72149223633
2025-09-09,97783.73882622071
2025-09-10,98430.74048521044
2025-09-11,98330.40819456102
2025-09-12,99227.65169431688
2025-09-15,99080.36150266649
2025-09-16,99752.41399290087
2025-09-17,100386.74055282211
2025-09-18,100941.7973612938
2025-09-19,101117.5748271141
2025-09-22,101220.3563670311
2025-09-23,100962.65861312485
2025-09-24,100375.83694894056
2025-09-25,99795.33191354017
2025-09-26,98864.66421944837
2025-09-29,99040.20306832533
2025-09-30,99062.35327584486
2025-10-01,100470.81828029946
2025-10-03,100438.81504386001
2025-10-06,101413.20991080337
2025-10-07,101627.94373648697
2025-10-08,100939.66147940689
2025-10-09,101901.06340429085
2025-10-10,102068.63869115608
2025-10-13,101956.29735204476
2025-10-14,101924.89360448616
2025-10-15,102859.88347265022
2025-10-16,103096.41239900424
2025-10-17,103530.61282334995
2025-10-20,103699.8991697855
2025-10-21,103771.58407579135
2025-10-23,103790.40554795932
2025-10-24,102533.65295441455
2025-10-27,103222.30246002978
2025-10-28,102587.37423737353
2025-10-29,102591.01058991259
2025-10-30,102358.15502960986
2025-10-31,101214.12864150119
2025-11-03,101562.49604262423
2025-11-04,100530.8150123508
2025-11-06,100304.35648573947
2025-11-07,100084.89753188204
2025-11-10,99805.29841275218
2025-11-11,100235.68320279125
2025-11-12,100656.19095425609
2025-11-13,100427.91690640453
2025-11-14,100389.90646939281
2025-11-17,100037.23999097187
2025-11-18,99306.84724500019
2025-11-19,99904.44096448261
2025-11-20,100666.77929761249
2025-11-21,100236.60044934589
2025-11-24,99973.98359566362
2025-11-25,99817.89497261675
2025-11-26,100940.23286324175
2025-11-27,100374.52351265581
2025-11-28,100072.37428169878
2025-12-01,100252.89958808066
2025-12-02,100210.11733173301
2025-12-03,100505.90248798301
2025-12-04,101020.66666339805
2025-12-05,101262.19374774864
2025-12-08,100720.22138654931
2025-12-09,100054.436108229
2025-12-10,99559.95509016259
2025-12-11,100009.05561506494
2025-12-12,100489.06757795556
2025-12-15,100616.46924512077
2025-12-16,100199.01840893913
2025-12-17,100094.19892041374
2025-12-18,99960.20474927116
2025-12-19,100723.59067456413
2025-12-22,101789.8097178987
2025-12-23,102072.64201135573
2025-12-24,102177.84708948073
2025-12-26,101769.15604944166
2025-12-29,101611.7330147737
2025-12-30,101463.53274573298
2025-12-31,101697.03741492244
2026-01-01,99439.41894568416
2026-01-02,100683.16305579158
2026-01-05,100610.52325476619
2026-01-06,100402.34585117991
2026-01-07,99220.69915318186
2026-01-08,98339.0813553303
2026-01-09,97780.27225804026
2026-01-12,98025.51121067698
2026-01-13,97902.22237948133
2026-01-14,98377.42738131239
2026-01-15,98377.42738131239
2026-01-16,98590.95988253309
2026-01-19,99255.40717867567
2026-01-20,97100.99018207735
2026-01-21,97058.32947651095
2026-01-22,98100.44901386446
2026-01-23,97261.10355488009
2026-01-27,98041.70127216524
2026-01-28,100346.6458715949
2026-01-29,100892.21877808904
2026-01-30,100098.58382935857
2026-02-02,98184.01745362615
2026-02-03,100433.17272706365
2026-02-04,101702.51582102769
2026-02-05,101285.83686594956
2026-02-06,101374.72419505112
2026-02-09,103428.8260627269
2026-02-10,103785.50523142808
2026-02-11,103901.24992612097
2026-02-12,103186.2821221659
2026-02-13,101219.6011834452
2026-02-16,102224.93873837683
2026-02-17,102089.01451352332
2026-02-18,102463.84760226702
2026-02-19,101525.56626071429
2026-02-20,102009.41941012835
2026-02-23,102279.4801706264
2026-02-24,101180.39960422015
2026-02-25,101573.71446539625
2026-02-26,101631.01609476344
2026-02-27,100390.6057248904
2026-03-02,98897.96796854274
2026-03-04,96650.66898782985
2026-03-05,97430.89916464018
2026-03-06,96152.06902548003
2026-03-09,94125.58184286284
2026-03-10,94951.50286337065
2026-03-11,93686.83800741362
2026-03-12,92430.39604210468
2026-03-13,89442.39756798359
2026-03-16,90775.83171104999
2026-03-17,92733.09806847187
2026-03-18,94070.59208702655
2026-03-19,90140.8194952887
2026-03-20,90708.73721989807
2026-03-23,86843.65103825745
2026-03-24,88362.46970280823
2026-03-25,90088.95267399964
2026-03-27,88372.86761204593
2026-03-30,86444.27535740726
2026-04-01,89135.79974095218
2026-04-02,88818.91567723147
2026-04-06,91133.5647861182
2026-04-07,91182.23775783932
2026-04-08,93728.09267727291
2026-04-09,93926.41041103756
2026-04-10,95091.63567654049
2026-04-13,94197.70142666256
2026-04-15,95058.5600684607
2026-04-16,95250.84253916383
2026-04-17,95903.89173349977
2026-04-20,95834.21586069703
2026-04-21,95796.65702280641
2026-04-22,94080.83664417177
2026-04-23,94069.90870573427
2026-04-24,91903.2398519745
2026-04-27,93191.96580412294
2026-04-28,92769.86314299013
2026-04-29,94086.48694988377
2026-04-30,93595.47083660252
2026-05-01,93595.47083660252
2026-05-04,94590.91651531345
2026-05-05,94067.66791912205
2026-05-06,96267.09455323608
2026-05-07,96477.19889283569
2026-05-08,96797.70200562866
2026-05-11,95352.68540406616
2026-05-12,93075.20148682983
2026-05-13,92806.69349714219
2026-05-14,95173.44020124375
2026-05-15,95444.4553379625
2026-05-18,94753.61390729844
2026-05-19,94601.82264753281
2026-05-20,94302.17954549004
2026-05-21,94269.87140950371
2026-05-22,94420.01160725762
2026-05-25,95825.2369490545
2026-05-26,95374.70533284356
2026-05-27,95853.37961645654
2026-05-28,95853.37961645654
2026-05-29,93905.58278723291
2026-06-01,93041.6497580581
2026-06-02,93381.3812033706
2026-06-03,93125.53920278876
2026-06-04,93514.59957316767
2026-06-05,93612.76983073603
2026-06-08,92918.15558818232
2026-06-09,93282.85268596064
2026-06-10,93084.00608226426
2026-06-11,92258.10122081406
2026-06-12,94073.0495392955
2026-06-15,95385.88622447617
2026-06-16,95267.9266450084
2026-06-17,95633.85547635375
2026-06-18,95583.5187702141
2026-06-19,95383.94420051195
2026-06-22,95919.90909003832
2026-06-23,94799.7087879143
