date,action,price,qty,pnl,confidence,log,exit_type
2023-03-15,BUY,16989.12,5,0.0,0.591,ML → BUY  (p=0.591) | fill=16989 | qty=5,
2023-04-10,SELL,17606.43,5,2910.46,0.868,ML → FORCE EXIT (held 15d) | fill=17606 | realized PnL = +2910.46,forced
2023-04-19,BUY,17636.37,5,0.0,0.72,ML → BUY  (p=0.720) | fill=17636 | qty=5,
2023-05-11,SELL,18278.7,5,3028.88,0.774,ML → FORCE EXIT (held 15d) | fill=18278 | realized PnL = +3028.88,forced
2023-05-18,BUY,18148.08,5,0.0,0.715,ML → BUY  (p=0.715) | fill=18148 | qty=5,
2023-06-08,SELL,18615.92,5,2153.03,0.786,ML → FORCE EXIT (held 15d) | fill=18615 | realized PnL = +2153.03,forced
2023-06-22,BUY,18790.02,5,0.0,0.533,ML → BUY  (p=0.533) | fill=18790 | qty=5,
2023-07-14,SELL,19544.94,5,3579.12,0.709,ML → FORCE EXIT (held 15d) | fill=19544 | realized PnL = +3579.12,forced
2023-08-28,BUY,19325.36,5,0.0,0.54,ML → BUY  (p=0.540) | fill=19325 | qty=5,
2023-09-13,SELL,20049.93,5,3422.37,0.889,ML → SELL (p=0.889) | fill=20049 | realized PnL = +3422.37,signal
2023-10-04,BUY,19455.54,5,0.0,0.587,ML → BUY  (p=0.587) | fill=19455 | qty=5,
2023-10-16,SELL,19712.02,5,1085.29,0.512,ML → SELL (p=0.512) | fill=19712 | realized PnL = +1085.29,signal
2023-10-26,BUY,18876.11,5,0.0,0.712,ML → BUY  (p=0.712) | fill=18876 | qty=5,
2023-11-17,SELL,19712.07,5,3982.69,0.818,ML → FORCE EXIT (held 15d) | fill=19712 | realized PnL = +3982.69,forced
2023-11-21,BUY,19803.18,5,0.0,0.585,ML → BUY  (p=0.585) | fill=19803 | qty=5,
2023-12-13,SELL,20905.42,5,5302.14,0.851,ML → FORCE EXIT (held 15d) | fill=20905 | realized PnL = +5302.14,forced
2023-12-13,BUY,20947.28,5,0.0,0.851,ML → BUY  (p=0.851) | fill=20947 | qty=5,
2024-01-04,SELL,21636.94,5,-995.31,0.866,ML → FORCE EXIT (held 15d) | fill=21636 | realized PnL = -995.31,forced
2024-01-08,BUY,21534.51,5,0.0,0.704,ML → BUY  (p=0.704) | fill=21534 | qty=5,
2024-01-12,SELL,21872.66,5,1471.99,0.728,ML → SELL (p=0.728) | fill=21872 | realized PnL = +1471.99,signal
2024-01-18,BUY,21483.71,5,0.0,0.758,ML → BUY  (p=0.758) | fill=21483 | qty=5,
2024-02-12,SELL,21594.43,5,337.67,0.695,ML → FORCE EXIT (held 15d) | fill=21594 | realized PnL = +337.67,forced
2024-02-12,BUY,21637.67,5,0.0,0.695,ML → BUY  (p=0.695) | fill=21637 | qty=5,
2024-02-22,SELL,22195.23,5,2565.87,0.494,ML → SELL (p=0.494) | fill=22195 | realized PnL = +2565.87,signal
2024-02-26,BUY,22144.17,5,0.0,0.404,ML → BUY  (p=0.404) | fill=22144 | qty=5,
2024-03-05,SELL,22333.94,5,-413.76,0.489,ML → SELL (p=0.489) | fill=22333 | realized PnL = -413.76,signal
