date,symbol,action,price,qty,pnl,held_days
2025-08-19,ADANIENT.NS,BUY,2388.53,4,0.0,0
2025-08-19,TRENT.NS,BUY,5490.63,1,0.0,0
2025-08-19,MAXHEALTH.NS,BUY,1227.83,8,0.0,0
2025-08-19,BEL.NS,BUY,378.63,26,0.0,0
2025-08-19,BHARTIARTL.NS,BUY,1910.65,5,0.0,0
2025-08-19,TATASTEEL.NS,BUY,156.09,64,0.0,0
2025-08-19,COALINDIA.NS,BUY,365.51,27,0.0,0
2025-08-19,BAJFINANCE.NS,BUY,897.24,11,0.0,0
2025-08-19,TATACONSUM.NS,BUY,1077.23,9,0.0,0
2025-08-19,BAJAJ-AUTO.NS,BUY,8677.77,1,0.0,0
2025-08-26,BHARTIARTL.NS,SELL,1903.75,5,-39.3,5
2025-08-26,TATASTEEL.NS,SELL,151.82,64,-278.08,5
2025-08-26,BAJFINANCE.NS,SELL,870.46,11,-299.31,5
2025-08-26,BAJAJ-AUTO.NS,SELL,8566.59,1,-115.46,5
2025-08-26,TMPV.NS,BUY,676.38,16,0.0,0
2025-08-26,APOLLOHOSP.NS,BUY,7787.06,1,0.0,0
2025-08-26,NTPC.NS,BUY,324.79,34,0.0,0
2025-08-26,HDFCLIFE.NS,BUY,774.23,14,0.0,0
2025-09-03,ADANIENT.NS,SELL,2286.53,4,-412.55,10
2025-09-03,MAXHEALTH.NS,SELL,1159.36,8,-552.43,10
2025-09-03,BEL.NS,SELL,376.91,26,-49.67,10
2025-09-03,TATACONSUM.NS,SELL,1094.59,9,151.3,10
2025-09-03,TMPV.NS,SELL,686.01,16,148.64,5
2025-09-03,APOLLOHOSP.NS,SELL,7721.88,1,-69.04,5
2025-09-03,HDFCLIFE.NS,SELL,773.31,14,-18.34,5
2025-09-03,TATASTEEL.NS,BUY,164.54,62,0.0,0
2025-09-03,TCS.NS,BUY,2991.84,3,0.0,0
2025-09-03,SBIN.NS,BUY,798.17,12,0.0,0
2025-09-03,POWERGRID.NS,BUY,278.33,36,0.0,0
2025-09-03,AXISBANK.NS,BUY,1054.41,9,0.0,0
2025-09-03,KOTAKBANK.NS,BUY,392.24,26,0.0,0
2025-09-03,TECHM.NS,BUY,1455.49,7,0.0,0
2025-09-10,TRENT.NS,SELL,5182.75,1,-310.48,15
2025-09-10,COALINDIA.NS,SELL,376.4,27,288.68,15
2025-09-10,NTPC.NS,SELL,320.33,34,-157.3,10
2025-09-10,TATASTEEL.NS,SELL,165.92,62,80.59,5
2025-09-10,TCS.NS,SELL,3000.91,3,22.71,5
2025-09-10,POWERGRID.NS,SELL,275.04,36,-123.45,5
2025-09-10,AXISBANK.NS,SELL,1068.74,9,124.13,5
2025-09-10,KOTAKBANK.NS,SELL,394.46,26,52.76,5
2025-09-10,TECHM.NS,SELL,1471.2,7,104.79,5
2025-09-10,BAJFINANCE.NS,BUY,962.52,10,0.0,0
2025-09-10,LT.NS,BUY,3517.42,2,0.0,0
2025-09-10,HDFCLIFE.NS,BUY,775.23,12,0.0,0
2025-09-10,BHARTIARTL.NS,BUY,1892.35,5,0.0,0
2025-09-10,INFY.NS,BUY,1478.26,6,0.0,0
2025-09-10,ONGC.NS,BUY,221.11,44,0.0,0
2025-09-10,TMPV.NS,BUY,703.62,14,0.0,0
2025-09-10,BEL.NS,BUY,386.6,25,0.0,0
2025-09-10,WIPRO.NS,BUY,249.44,39,0.0,0
2025-09-17,SBIN.NS,SELL,841.55,12,515.55,10
2025-09-17,BAJFINANCE.NS,SELL,1000.84,10,378.26,5
2025-09-17,BHARTIARTL.NS,SELL,1940.33,5,235.07,5
2025-09-17,INFY.NS,SELL,1466.95,6,-72.24,5
2025-09-17,ONGC.NS,SELL,225.79,44,200.88,5
2025-09-17,TMPV.NS,SELL,712.88,14,124.64,5
2025-09-17,BEL.NS,SELL,410.25,25,586.1,5
